Fa13.BD.MLB.DN 26|AB731631.1.2765 0.152947 790 0.248294
Fa13.BD.MLB.DN 395|FJ612377.1.1496 0.009085 1454 0.008013
Fa13.BD.MLB.DN 128|FN668303.1.1462 0.008637 1421 0.007795
Fa13.BD.MLB.DN 974|HM128747.1.1413 0.008311 1412 0.007549
Fa13.BD.MLB.DN 238|HQ860526.1.1449 0.008279 1417 0.007493
Fa13.BD.MLB.DN 131|EU162630.1.1758 0.008153 1673 0.006250
Fa13.BD.MLB.DN 554|EU801548.1.1470 0.008123 1466 0.007106
Fa13.BD.MLB.DN 492|AACY020469740.331.1809 0.008062 1424 0.007261
Fa13.BD.MLB.DN 54|GQ340067.1.1366 0.007964 1361 0.007505
Fa13.BD.MLB.DN 454|HM129400.1.1417 0.007267 1336 0.006976
Fa13.BD.MLB.DN 474|JF730842.1.1669 0.007040 1590 0.005678
Fa13.BD.MLB.DN 699|EU800127.1.1356 0.006943 1324 0.006725
Fa13.BD.MLB.DN 102|EU104111.1.1497 0.006926 1457 0.006096
Fa13.BD.MLB.DN 353|FJ612243.1.1235 0.006871 1193 0.007386
Fa13.BD.MLB.DN 151|GQ340107.1.1394 0.006586 1348 0.006266
Fa13.BD.MLB.DN 302|KJ925334.1.1679 0.006359 1645 0.004958
Fa13.BD.MLB.DN 48|FR874414.1.1794 0.006241 1746 0.004584
Fa13.BD.MLB.DN 614|KJ925178.1.1666 0.006234 1607 0.004975
Fa13.BD.MLB.DN 403|GQ340110.1.1425 0.005791 1352 0.005493
Fa13.BD.MLB.DN 69|KJ201907.67259.68729 0.005565 1425 0.005008
Fa13.BD.MLB.DN 129|EF526756.1.1399 0.005223 1255 0.005337
Fa13.BD.MLB.DN 413|JN869224.1.1554 0.004882 1460 0.004288
Fa13.BD.MLB.DN 1134|EU801454.1.1496 0.004821 1450 0.004264
Fa13.BD.MLB.DN 86|JN868815.1.1525 0.004655 1494 0.003996
Fa13.BD.MLB.DN 24|FJ612293.1.1479 0.004564 1468 0.003987
Fa13.BD.MLB.DN 91|FJ612357.1.1459 0.004513 1388 0.004170
Fa13.BD.MLB.DN 672|EU162628.1.1765 0.004181 1698 0.003158
Fa13.BD.MLB.DN 262|JN869039.1.1519 0.003747 1444 0.003328
Fa13.BD.MLB.DN 242|EU803667.1.1484 0.003633 1468 0.003174
Fa13.BD.MLB.DN 143|FJ612309.1.1463 0.003633 1438 0.003240
Fa13.BD.MLB.DN 198|AF418950.1.1453 0.003406 787 0.005550
Fa13.BD.MLB.DN 621|FN668105.1.1474 0.003324 1453 0.002934
Fa13.BD.MLB.DN 43|HM856394.1.1444 0.002952 1413 0.002679
Fa13.BD.MLB.DN 653|GQ340251.1.1351 0.001827 1202 0.001949
Fa13.BD.MLB.DN 613|DQ223087.1.1346 0.001590 919 0.002219
Fa13.BD.MLB.DN 314|EU800500.1.1497 0.001064 1318 0.001035
Fa13.BD.MLB.SN 29|AY947975.1.1412 0.070383 1411 0.072372
Fa13.BD.MLB.SN 351|HE600664.2.1467 0.042173 1464 0.041795
Fa13.BD.MLB.SN 101|AQZL01000003.2328.3750 0.028809 1369 0.030532
Fa13.BD.MLB.SN 465|LN681457.1.1390 0.027205 1387 0.028458
Fa13.BD.MLB.SN 622|HM856514.1.1453 0.023616 1452 0.023598
Fa13.BD.MLB.SN 1426|EU801243.1.1477 0.021449 1475 0.021098
Fa13.BD.MLB.SN 27|HE574393.1.1371 0.020360 1370 0.021562
Fa13.BD.MLB.SN 997|EU803560.1.1485 0.020177 1481 0.019767
Fa13.BD.MLB.SN 367|GU305713.1.1448 0.019922 1447 0.019975
Fa13.BD.MLB.SN 64|EU800187.1.1330 0.018880 1235 0.022180
Fa13.BD.MLB.SN 578|AB753961.1.1451 0.017699 1451 0.017698
Fa13.BD.MLB.SN 246|KJ925354.1.1641 0.017089 1631 0.015202
Fa13.BD.MLB.SN 138|JQ906009.1.1397 0.016573 1396 0.017225
Fa13.BD.MLB.SN 297|GU305764.1.1479 0.016007 1477 0.015724
Fa13.BD.MLB.SN 448|KC253307.1.1495 0.015534 1492 0.015106
Fa13.BD.MLB.SN 0|EU703454.1.1487 0.015416 1484 0.015072
Fa13.BD.MLB.SN 173|EU234298.1.1510 0.013356 1496 0.012953
Fa13.BD.MLB.SN 453|GU305742.1.1480 0.013026 1478 0.012787
Fa13.BD.MLB.SN 433|HQ219463.1.2978 0.012631 2922 0.006272
Fa13.BD.MLB.SN 143|EU801266.1.1487 0.012438 1484 0.012160
Fa13.BD.MLB.SN 118|EU803670.1.1491 0.012008 1491 0.011685
Fa13.BD.MLB.SN 220|FJ612389.1.1501 0.011474 1398 0.011908
Fa13.BD.MLB.SN 532|JN869007.1.1512 0.011212 1421 0.011448
Fa13.BD.MLB.SN 42|GU067879.1.1774 0.011189 1766 0.009192
Fa13.BD.MLB.SN 1137|JN232915.1.1483 0.010723 1482 0.010498
Fa13.BD.MLB.SN 148|KJ925246.1.1675 0.010461 1584 0.009582
Fa13.BD.MLB.SN 424|EU800363.1.1479 0.010282 1477 0.010100
Fa13.BD.MLB.SN 104|AB753937.1.1456 0.010025 1455 0.009997
Fa13.BD.MLB.SN 124|AB771907.1.1658 0.008948 1640 0.007916
Fa13.BD.MLB.SN 15|HQ860526.1.1449 0.008849 1443 0.008897
Fa13.BD.MLB.SN 115|FJ827865.1.1489 0.008729 1487 0.008517
Fa13.BD.MLB.SN 117|GU290075.1.1764 0.008511 1752 0.007048
Fa13.BD.MLB.SN 244|JF730842.1.1669 0.008360 1651 0.007347
Fa13.BD.MLB.SN 283|EU800554.1.1494 0.008354 1482 0.008179
Fa13.BD.MLB.SN 221|GU305845.1.1493 0.008048 1480 0.007890
Fa13.BD.MLB.SN 185|JN868973.1.1510 0.008039 1509 0.007729
Fa13.BD.MLB.SN 537|JN868983.1.1477 0.007847 1477 0.007708
Fa13.BD.MLB.SN 791|FJ827860.1.1495 0.007710 1492 0.007498
Fa13.BD.MLB.SN 883|GU305843.1.1490 0.007620 1457 0.007588
Fa13.BD.MLB.SN 1|EU104111.1.1497 0.007505 1466 0.007428
Fa13.BD.MLB.SN 589|EU703387.1.1470 0.007470 1464 0.007403
Fa13.BD.MLB.SN 1316|FJ612243.1.1235 0.007419 1191 0.009038
Fa13.BD.MLB.SN 714|FJ916092.1.1506 0.007389 1504 0.007128
Fa13.BD.MLB.SN 1352|HM128747.1.1413 0.007384 1405 0.007625
Fa13.BD.MLB.SN 281|EU803779.1.1450 0.007279 1444 0.007314
Fa13.BD.MLB.SN 498|EU800274.1.1499 0.007142 1493 0.006941
Fa13.BD.MLB.SN 257|EU803473.1.1478 0.006711 1475 0.006601
Fa13.BD.MLB.SN 24|EU800770.1.1485 0.006674 1483 0.006529
Fa13.BD.MLB.SN 775|JN656792.1.1496 0.006506 1465 0.006443
Fa13.BD.MLB.SN 406|GU305758.1.1477 0.006428 1459 0.006392
Fa13.BD.MLB.SN 441|KJ925334.1.1679 0.006339 1636 0.005622
Fa13.BD.MLB.SN 151|EU803358.1.1295 0.006288 1215 0.007509
Fa13.BD.MLB.SN 96|EF526756.1.1399 0.006136 1204 0.007394
Fa13.BD.MLB.SN 330|FN668111.1.1480 0.005989 1478 0.005879
Fa13.BD.MLB.SN 757|JQ941855.1.1391 0.005960 1389 0.006226
Fa13.BD.MLB.SN 242|KJ201907.67259.68729 0.005936 1456 0.005915
Fa13.BD.MLB.SN 16|HM856579.1.1446 0.005786 1280 0.006558
Fa13.BD.MLB.SN 1100|EU800226.1.1483 0.005784 1463 0.005736
Fa13.BD.MLB.SN 1001|EU803296.1.1449 0.005749 1417 0.005886
Fa13.BD.MLB.SN 279|GU305778.1.1502 0.005740 1390 0.005991
Fa13.BD.MLB.SN 268|HM128588.1.1439 0.005687 1380 0.005979
Fa13.BD.MLB.SN 422|GU305721.1.1496 0.005477 1382 0.005750
Fa13.BD.MLB.SN 224|JN869224.1.1554 0.005426 1522 0.005172
Fa13.BD.MLB.SN 54|FN668201.1.1468 0.005232 1466 0.005178
Fa13.BD.MLB.SN 74|JQIO01000292.890395.892182 0.005184 1491 0.005045
Fa13.BD.MLB.SN 50|EU162628.1.1765 0.004968 1711 0.004213
Fa13.BD.MLB.SN 126|HM856573.1.1433 0.004673 1419 0.004778
Fa13.BD.MLB.SN 317|FJ612257.1.1429 0.004649 1425 0.004733
Fa13.BD.MLB.SN 4|FJ612377.1.1496 0.004584 1492 0.004458
Fa13.BD.MLB.SN 962|EU803721.1.1496 0.004497 1491 0.004376
Fa13.BD.MLB.SN 34|GQ340110.1.1425 0.004420 1420 0.004516
Fa13.BD.MLB.SN 347|GQ340107.1.1394 0.004341 1373 0.004587
Fa13.BD.MLB.SN 332|FJ612357.1.1459 0.004339 1439 0.004375
Fa13.BD.MLB.SN 11|FN668267.1.1475 0.004316 1473 0.004251
Fa13.BD.MLB.SN 751|EU703498.1.1471 0.004310 1378 0.004538
Fa13.BD.MLB.SN 270|AY919770.1.1712 0.004287 1695 0.003670
Fa13.BD.MLB.SN 179|AACY020469740.331.1809 0.004166 1462 0.004134
Fa13.BD.MLB.SN 67|AY642728.1.1288 0.004160 1263 0.004779
Fa13.BD.MLB.SN 82|KJ925178.1.1666 0.004017 1628 0.003580
Fa13.BD.MLB.SN 680|FJ612419.1.1369 0.003790 1342 0.004097
Fa13.BD.MLB.SN 693|EU800860.1.1489 0.003756 1483 0.003675
Fa13.BD.MLB.SN 319|GU305786.1.1496 0.003568 1460 0.003546
Fa13.BD.MLB.SN 907|JF901752.1.1405 0.003499 1134 0.004477
Fa13.BD.MLB.SN 201|FJ612309.1.1463 0.003499 1418 0.003580
Fa13.BD.MLB.SN 272|EU803898.1.1463 0.003489 1457 0.003474
Fa13.BD.MLB.SN 86|KJ925249.1.1500 0.003415 1280 0.003871
Fa13.BD.MLB.SN 1530|HM129400.1.1417 0.003404 1389 0.003556
Fa13.BD.MLB.SN 490|AF418943.1.1444 0.003364 1413 0.003454
Fa13.BD.MLB.SN 436|FJ612293.1.1479 0.003347 1423 0.003413
Fa13.BD.MLB.SN 963|FJ827871.1.1494 0.003226 1369 0.003419
Fa13.BD.MLB.SN 492|AY642742.1.1333 0.003143 1239 0.003680
Fa13.BD.MLB.SN 801|AY919808.1.1679 0.003108 1633 0.002761
Fa13.BD.MLB.SN 899|EU978823.1.1444 0.003036 1432 0.003076
Fa13.BD.MLB.SN 843|KF385066.1.1484 0.002995 1463 0.002970
Fa13.BD.MLB.SN 1169|GU305780.1.1493 0.002964 1489 0.002888
Fa13.BD.MLB.SN 83|DQ463729.1.1478 0.002916 1301 0.003252
Fa13.BD.MLB.SN 494|EU803487.1.1490 0.002907 1457 0.002895
Fa13.BD.MLB.SN 1051|HQ219416.1.2461 0.002884 2200 0.001902
Fa13.BD.MLB.SN 2259|EU800924.1.1500 0.002855 1498 0.002765
Fa13.BD.MLB.SN 1872|FN668062.1.1473 0.002789 1201 0.003369
Fa13.BD.MLB.SN 385|JN547327.1.1564 0.002589 1359 0.002764
Fa13.BD.MLB.SN 796|FJ827858.1.1495 0.002535 1492 0.002465
Fa13.BD.MLB.SN 159|FJ612282.1.1463 0.002535 1251 0.002940
Fa13.BD.MLB.SN 250|GU305838.1.1486 0.002525 1471 0.002490
Fa13.BD.MLB.SN 230|GQ340146.1.1393 0.002518 1385 0.002638
Fa13.BD.MLB.SN 898|AB753963.1.1449 0.002417 1355 0.002588
Fa13.BD.MLB.SN 373|FN668197.1.1487 0.002363 1457 0.002353
Fa13.BD.MLB.SN 543|GU305706.1.1485 0.002285 1471 0.002254
Fa13.BD.MLB.SN 1068|FJ827886.1.1488 0.002277 1435 0.002302
Fa13.BD.MLB.SN 69|FN668188.1.1485 0.002233 1322 0.002451
Fa13.BD.MLB.SN 1201|JQ941861.1.1392 0.002231 1349 0.002399
Fa13.BD.MLB.SN 932|JF830233.1.1460 0.002195 1456 0.002187
Fa13.BD.MLB.SN 266|EU803667.1.1484 0.002181 1410 0.002244
Fa13.BD.MLB.SN 574|EU803246.1.1420 0.002144 1419 0.002192
Fa13.BD.MLB.SN 128|KJ925254.1.1590 0.002108 1573 0.001944
Fa13.BD.MLB.SN 188|EU801319.1.1473 0.002105 1416 0.002157
Fa13.BD.MLB.SN 140|EU803758.1.1451 0.002098 1448 0.002102
Fa13.BD.MLB.SN 254|GQ340144.1.1427 0.002020 1334 0.002197
Fa13.BD.MLB.SN 278|JN868815.1.1525 0.002003 1463 0.001986
Fa13.BD.MLB.SN 728|JN869039.1.1519 0.001952 1512 0.001873
Fa13.BD.MLB.SN 427|JN547303.1.1573 0.001927 1553 0.001800
Fa13.BD.MLB.SN 568|JN032909.1.1407 0.001923 1337 0.002087
Fa13.BD.MLB.SN 290|JQ941776.1.1393 0.001915 1381 0.002012
Fa13.BD.MLB.SN 726|EU801738.1.1482 0.001888 1474 0.001858
Fa13.BD.MLB.SN 342|FN668149.1.1477 0.001763 1465 0.001746
Fa13.BD.MLB.SN 1497|EU800127.1.1356 0.001690 1347 0.001820
Fa13.BD.MLB.SN 232|HQ420131.1.1463 0.001650 1429 0.001675
Fa13.BD.MLB.SN 57|FN668203.1.1499 0.001644 1487 0.001604
Fa13.BD.MLB.SN 98|GU305773.1.1492 0.001578 1468 0.001560
Fa13.BD.MLB.SN 289|HQ661175.1.1468 0.001572 1375 0.001659
Fa13.BD.MLB.SN 603|HE648193.1.1495 0.001521 1461 0.001510
Fa13.BD.MLB.SN 1318|GU305821.1.1234 0.001521 1177 0.001875
Fa13.BD.MLB.SN 766|FJ744961.1.1302 0.001471 1248 0.001710
Fa13.BD.MLB.SN 955|AF418968.1.1515 0.001420 1404 0.001467
Fa13.BD.MLB.SN 174|AY212628.1.1495 0.001420 1135 0.001815
Fa13.BD.MLB.SN 642|HM856394.1.1444 0.001411 1405 0.001457
Fa13.BD.MLB.SN 493|AF289158.1.1430 0.001321 1279 0.001499
Fa13.BD.MLB.SN 435|KM410722.1.1434 0.001268 1350 0.001363
Fa13.BD.MLB.SN 443|AY919782.1.1678 0.001252 1606 0.001131
Fa13.BD.MLB.SN 712|JX013356.1.1395 0.001217 1358 0.001300
Fa13.BD.MLB.SN 984|AB661567.1.1491 0.001166 1175 0.001440
Fa13.BD.MLB.SN 1228|KC683259.1.1474 0.001116 1405 0.001152
Fa13.BD.MLB.SN 857|JF830147.1.1480 0.001066 1477 0.001047
Fa13.BD.MLB.SN 673|FJ612196.1.1473 0.001014 1173 0.001254
Fa13.BD.MLB.SN 985|EU803373.1.1500 0.000757 1496 0.000734
Fa13.BD.MLB.SN 76|FN668105.1.1474 0.000649 1470 0.000641
Fa13.BD.MLB.SN 1120|EU802021.1.1480 0.000533 1383 0.000559
Fa13.BD.MLB.SN 705|GQ340251.1.1351 0.000498 1323 0.000546
Fa13.BD.MLB.SN 1047|EU803995.1.1443 0.000347 1441 0.000349
Fa13.BD.MLB.SN 1028|EU801399.1.1441 0.000300 1435 0.000303
Fa13.BD.MLB.SN 1323|HM856533.1.1444 0.000237 1391 0.000247
Fa13.BD.MLB.SN 256|GU305756.1.1480 0.000198 1462 0.000196
Fa13.BD.MM110.DN 368|HM856514.1.1453 0.069989 1433 0.069004
Fa13.BD.MM110.DN 24|HM856450.1.1435 0.064555 1422 0.064139
Fa13.BD.MM110.DN 1|HM856384.1.1422 0.058253 1408 0.058453
Fa13.BD.MM110.DN 474|GU305742.1.1480 0.044100 1474 0.042270
Fa13.BD.MM110.DN 120|HM446120.1.1440 0.042857 1431 0.042313
Fa13.BD.MM110.DN 71|HM856379.1.1515 0.032189 1472 0.030895
Fa13.BD.MM110.DN 98|AB753961.1.1451 0.031523 1428 0.031188
Fa13.BD.MM110.DN 295|AJ575532.1.1471 0.026529 1374 0.027279
Fa13.BD.MM110.DN 2480|HM856514.1.1453_m09 0.025939 1433 0.025574
Fa13.BD.MM110.DN 19|EU703387.1.1470 0.025912 1458 0.025109
Fa13.BD.MM110.DN 404|GU305764.1.1479 0.025375 1466 0.024455
Fa13.BD.MM110.DN 409|AJ421928.1.1442 0.024467 1343 0.025739
Fa13.BD.MM110.DN 77|HM856378.1.1458 0.024264 1438 0.023839
Fa13.BD.MM110.DN 106|HM856500.1.1441 0.022265 1343 0.023423
Fa13.BD.MM110.DN 28|JN868815.1.1525 0.020921 1474 0.020053
Fa13.BD.MM110.DN 217|GU305786.1.1496 0.020587 1494 0.019469
Fa13.BD.MM110.DN 626|EU234298.1.1510 0.017945 1485 0.017073
Fa13.BD.MM110.DN 213|FN668262.1.1467 0.017842 1461 0.017254
Fa13.BD.MM110.DN 111|AB930824.1.1437 0.017314 1397 0.017510
Fa13.BD.MM110.DN 112|GU305778.1.1502 0.016619 1387 0.016929
Fa13.BD.MM110.DN 128|AF316730.1.1563 0.016507 1520 0.015343
Fa13.BD.MM110.DN 234|FJ800537.1.1470 0.016316 1460 0.015789
Fa13.BD.MM110.DN 132|KC682902.1.1535 0.016315 1506 0.015306
Fa13.BD.MM110.DN 7|HM446087.1.1415 0.016277 1386 0.016592
Fa13.BD.MM110.DN 452|FJ827865.1.1489 0.015550 1481 0.014834
Fa13.BD.MM110.DN 458|EU801389.1.1485 0.015163 1206 0.017763
Fa13.BD.MM110.DN 3|EU800457.1.1475 0.015163 1392 0.015390
Fa13.BD.MM110.DN 97|FN668182.1.1488 0.015045 1474 0.014421
Fa13.BD.MM110.DN 302|FN668272.1.1326 0.014782 1312 0.015918
Fa13.BD.MM110.DN 86|HM856448.1.1440 0.013079 1427 0.012949
Fa13.BD.MM110.DN 560|FJ916097.1.1512 0.012861 1507 0.012057
Fa13.BD.MM110.DN 271|FN668192.1.1485 0.012786 1483 0.012181
Fa13.BD.MM110.DN 150|HM856380.1.1434 0.012786 1419 0.012730
Fa13.BD.MM110.DN 42|KC253350.1.1487 0.012092 1462 0.011685
Fa13.BD.MM110.DN 145|EU703222.1.1393 0.011875 1252 0.013400
Fa13.BD.MM110.DN 370|DQ316362.1.1500 0.011539 1459 0.011174
Fa13.BD.MM110.DN 233|JX099460.1.1741 0.011516 1401 0.011613
Fa13.BD.MM110.DN 89|EU800415.1.1480 0.011239 1461 0.010868
Fa13.BD.MM110.DN 212|EU800642.1.1476 0.011132 1195 0.013161
Fa13.BD.MM110.DN 61|HQ856463.1.1458 0.010557 1400 0.010654
Fa13.BD.MM110.DN 168|EF019123.1.1407 0.009981 1370 0.010293
Fa13.BD.MM110.DN 107|AM279188.8.1487 0.009791 1459 0.009481
Fa13.BD.MM110.DN 65|FN668212.1.1505 0.009789 1000 0.013830
Fa13.BD.MM110.DN 39|HM856519.1.1451 0.009603 1411 0.009615
Fa13.BD.MM110.DN 185|HM856381.1.1450 0.009213 1407 0.009251
Fa13.BD.MM110.DN 735|FN668103.1.1487 0.008893 1479 0.008495
Fa13.BD.MM110.DN 34|FN668282.1.1495 0.008732 1413 0.008731
Fa13.BD.MM110.DN 261|HM856480.1.1443 0.006791 1363 0.007039
Fa13.BD.MM110.DN 615|EF580974.1.1452 0.006718 1419 0.006689
Fa13.BD.MM110.DN 379|AF316766.1.1445 0.005566 1303 0.006035
Fa13.BD.MM110.DN 188|AF316775.1.1495 0.004645 1478 0.004440
Fa13.BD.MM110.DN 270|EU703171.1.1433 0.004607 1293 0.005034
Fa13.BD.MM110.DN 461|AY050607.1.1501 0.003647 978 0.005269
Fa13.BD.MM110.SD 2|AB731631.1.2765 0.265781 1222 0.295840
Fa13.BD.MM110.SD 177|HE979801.1.1511 0.084570 1510 0.076181
Fa13.BD.MM110.SD 597|EU803419.1.1450 0.041081 1448 0.038590
Fa13.BD.MM110.SD 4|GU305773.1.1492 0.040420 1486 0.036998
Fa13.BD.MM110.SD 157|FJ382022.1.1346 0.037852 1337 0.038509
Fa13.BD.MM110.SD 386|HM856450.1.1435 0.033538 1429 0.031923
Fa13.BD.MM110.SD 419|HM856485.1.1437 0.033233 1431 0.031589
Fa13.BD.MM110.SD 319|FJ612295.1.1494 0.028661 1452 0.026849
Fa13.BD.MM110.SD 98|AB753961.1.1451 0.028024 1432 0.026619
Fa13.BD.MM110.SD 225|AY948053.1.1393 0.026662 1378 0.026318
Fa13.BD.MM110.SD 11|EU801153.1.1477 0.025046 1400 0.024334
Fa13.BD.MM110.SD 591|HM128747.1.1413 0.022676 1411 0.021860
Fa13.BD.MM110.SD 129|EU703390.1.1491 0.021999 1486 0.020137
Fa13.BD.MM110.SD 645|JQ994349.1.1473 0.016669 1471 0.015414
Fa13.BD.MM110.SD 59|FJ612352.1.1449 0.014992 1241 0.016432
Fa13.BD.MM110.SD 238|FN668296.1.1471 0.014672 1461 0.013660
Fa13.BD.MM110.SD 60|FJ800553.1.1438 0.013068 1257 0.014141
Fa13.BD.MM110.SD 218|EU703387.1.1470 0.012928 1461 0.012036
Fa13.BD.MM110.SD 279|HM856560.1.1435 0.012482 1414 0.012007
Fa13.BD.MM110.SD 122|KJ201907.67259.68729 0.012331 1459 0.011496
Fa13.BD.MM110.SD 197|AY919777.1.1720 0.010076 1664 0.008236
Fa13.BD.MM110.SD 167|EF520450.1.1448 0.009944 1418 0.009539
Fa13.BD.MM110.SD 192|GU305786.1.1496 0.009099 1457 0.008495
Fa13.BD.MM110.SD 119|GU305778.1.1502 0.008932 1362 0.008920
Fa13.BD.MM110.SD 82|KF596527.1.1488 0.008850 1150 0.010468
Fa13.BD.MM110.SD 2622|AY948053.1.1393_m33 0.008489 1378 0.008379
Fa13.BD.MM110.SD 302|HM856521.1.1435 0.008282 1417 0.007950
Fa13.BD.MM110.SD 908|EU801376.1.1402 0.008258 1067 0.010527
Fa13.BD.MM110.SD 130|JN626854.1.1296 0.008038 1188 0.009203
Fa13.BD.MM110.SD 272|AACY020469740.331.1809 0.008013 1456 0.007486
Fa13.BD.MM110.SD 193|JQIO01000292.890395.892182 0.007802 1460 0.007269
Fa13.BD.MM110.SD 514|KJ925178.1.1666 0.006842 1627 0.005720
Fa13.BD.MM110.SD 267|JF730872.1.1702 0.006351 1566 0.005516
Fa13.BD.MM110.SD 635|EU801389.1.1485 0.006252 1464 0.005809
Fa13.BD.MM110.SD 48|KF650384.1.1483 0.006186 1462 0.005755
Fa13.BD.MM110.SD 1076|HM856473.1.1443 0.006154 1363 0.006141
Fa13.BD.MM110.SD 690|EU703454.1.1487 0.005961 1484 0.005464
Fa13.BD.MM110.SD 132|HM856519.1.1451 0.005961 1380 0.005875
Fa13.BD.MM110.SD 151|JF830233.1.1460 0.005388 1345 0.005449
Fa13.BD.MM110.SD 288|KF596564.1.1479 0.004983 1396 0.004855
Fa13.BD.MM110.SD 371|HM856448.1.1440 0.004922 1422 0.004708
Fa13.BD.MM110.SD 44|HM856480.1.1443 0.004756 1389 0.004657
Fa13.BD.MM110.SD 694|JF730802.1.1686 0.004694 1408 0.004535
Fa13.BD.MM110.SD 779|GQ340328.1.1390 0.004656 1389 0.004559
Fa13.BD.MM110.SD 507|GQ923925.1.1382 0.004452 1379 0.004391
Fa13.BD.MM110.SD 822|KC189662.1.1450 0.004299 1333 0.004387
Fa13.BD.MM110.SD 87|EU162628.1.1765 0.004298 1613 0.003624
Fa13.BD.MM110.SD 43|GQ340110.1.1425 0.003909 1380 0.003853
Fa13.BD.MM110.SD 16|FJ612174.1.1445 0.003869 1399 0.003762
Fa13.BD.MM110.SD 206|HM856502.1.1441 0.003681 1395 0.003589
Fa13.BD.MM110.SD 211|JN868990.1.1501 0.003473 1364 0.003463
Fa13.BD.MM110.SD 775|JN869039.1.1519 0.003127 1347 0.003158
Fa13.BD.MM110.SD 106|FN668203.1.1499 0.002965 1451 0.002779
Fa13.BD.MM110.SD 184|EU703392.1.1420 0.002877 1388 0.002819
Fa13.BD.MM110.SD 55|GU305724.1.1467 0.002413 1337 0.002455
Fa13.BD.MM110.SD 396|JN868873.1.1512 0.002097 1267 0.002251
Fa13.BD.MM110.SD 266|EF520405.1.1446 0.001861 1322 0.001915
Fa13.BD.MM110.SD 46|GQ340252.1.1372 0.001106 1363 0.001104
Fa13.BD.MM110.SN 22|AB731631.1.2765 0.328533 1099 0.382514
Fa13.BD.MM110.SN 152|JQ906014.1.1393 0.070492 1388 0.064985
Fa13.BD.MM110.SN 38|GU305773.1.1492 0.041423 1488 0.035621
Fa13.BD.MM110.SN 123|HM856450.1.1435 0.040440 1426 0.036288
Fa13.BD.MM110.SN 147|EU801138.1.1451 0.036787 1448 0.032508
Fa13.BD.MM110.SN 67|HM856485.1.1437 0.036770 1416 0.033227
Fa13.BD.MM110.SN 271|FJ382022.1.1346 0.035487 1340 0.033887
Fa13.BD.MM110.SN 34|EU801153.1.1477 0.031230 1408 0.028381
Fa13.BD.MM110.SN 11|EU703390.1.1491 0.029185 1383 0.027002
Fa13.BD.MM110.SN 26|FJ820471.1.1489 0.020279 1479 0.017545
Fa13.BD.MM110.SN 64|FJ612150.1.1429 0.019664 1401 0.017960
Fa13.BD.MM110.SN 304|EU803219.1.1277 0.018766 1071 0.022421
Fa13.BD.MM110.SN 28|AB753929.1.1394 0.017816 1374 0.016592
